"RANKING","PAIS","JUGADOR","EDAT","PUNTS","TORNEJOS","WL","TITOLS","RANKING_DOB","GUANYS_IND","GUANYS_DOB","GUANYS_TOT"
"1","ESP","Rafael Nadal",31,"10,645",17,"67-10","6","550",12586340,12660,12599000
"2","SUI","Roger Federer",36,"9,005",16,"49-4","7","0",11022856,0,11022856
"3","GER","Alexander Zverev",20,"4,410",24,"54-20","5","99",3824313,102685,3926998
"4","AUT","Dominic Thiem",24,"3,815",26,"48-25","1","269",3271907,61719,3333626
"5","CRO","Marin Cilic",29,"3,805",21,"44-19","1","184",3405923,58815,3464738
"6","BUL","Grigor Dimitrov",26,"3,650",22,"44-19","3","562",3046244,33266,3079510
"7","SUI","Stan Wawrinka",32,"3,150",15,"26-11","1","555",2802229,16683,2818912
"8","BEL","David Goffin",26,"2,975",25,"54-22","2","555",2372613,14063,2386676
"9","USA","Jack Sock",25,"2,765",21,"36-19","3","39",2266419,257154,2523573
"10","ESP","Pablo Carreno Busta",26,"2,615",24,"36-24","1","45",2420305,166054,2586359
"11","ARG","Juan Martin del Potro",29,"2,595",19,"38-16","1","319",2302354,32947,2335301
"12","SRB","Novak Djokovic",30,"2,585",16,"32-8","2","233",2083741,32783,2116524
"13","USA","Sam Querrey",30,"2,535",23,"36-21","2","58",2232149,170678,2402827
"14","RSA","Kevin Anderson",31,"2,480",22,"32-21","0","289",2842345,15600,2857945
"15","FRA","Jo-Wilfried Tsonga",32,"2,320",20,"37-14","4","552",1843647,13368,1857015
"16","GBR","Andy Murray",30,"2,290",16,"25-10","1","552",2071625,21000,2092625
"17","USA","John Isner",32,"2,265",24,"38-22","2","98",1707550,129404,1836954
"18","FRA","Lucas Pouille",23,"2,235",24,"35-21","3","158",1953511,87622,2041133
"19","CZE","Tomas Berdych",32,"2,095",19,"35-18","0","555",1782871,20674,1803545
"20","ESP","Roberto Bautista Agut",29,"2,015",24,"48-21","2","321",1753055,41882,1794937
"21","AUS","Nick Kyrgios",22,"2,010",19,"31-17","0","74",1787646,137854,1925500
"22","JPN","Kei Nishikori",27,"1,885",19,"30-13","0","827",1485482,6273,1491755
"23","ESP","Albert Ramos-Vinolas",29,"1,845",30,"34-31","0","150",1643204,138566,1781770
"24","CAN","Milos Raonic",26,"1,795",20,"29-12","0","0",1405103,4343,1409446
"25","LUX","Gilles Muller",34,"1,695",22,"32-18","2","104",1227494,113812,1341306
"26","ARG","Diego Schwartzman",25,"1,675",28,"39-28","0","134",1523297,94492,1617789
"27","ITA","Fabio Fognini",30,"1,670",24,"36-23","1","96",1304964,124091,1429055
"28","FRA","Adrian Mannarino",29,"1,635",29,"33-27","0","291",1279672,53505,1333177
"29","GER","Philipp Kohlschreiber",34,"1,440",22,"32-19","1","563",1171269,39302,1210571
"30","BIH","Damir Dzumhur",25,"1,391",28,"36-24","2","367",1012697,25914,1038611
"31","FRA","Richard Gasquet",31,"1,375",21,"29-18","0","0",1020777,9409,1030186
"32","GER","Mischa Zverev",30,"1,302",31,"30-32","0","52",1276820,202885,1479705
"33","SRB","Filip Krajinovic",25,"1,298",26,"5-2","0","794",605365,3383,608748
"34","ESP","Fernando Verdasco",33,"1,295",25,"29-25","0","65",1221155,178431,1399586
"35","ESP","Feliciano Lopez",36,"1,295",25,"25-23","1","24",1303087,428664,1731751
"36","ESP","David Ferrer",35,"1,290",23,"24-21","1","558",1046695,19516,1066211
"37","RUS","Andrey Rublev",20,"1,288",23,"18-16","1","320",1061168,39859,1101027
"38","URU","Pablo Cuevas",31,"1,280",24,"20-21","1","20",1113561,421432,1534993
"39","UKR","Alexandr Dolgopolov",28,"1,231",24,"28-23","1","0",934290,6467,940757
"40","JPN","Yuichi Sugita",29,"1,219",29,"22-16","1","600",727829,16555,744384
"41","FRA","Benoit Paire",28,"1,155",33,"31-31","0","172",1021800,93935,1115735
"42","NED","Robin Haase",30,"1,130",30,"28-30","0","81",1036252,130382,1166634
"43","ITA","Paolo Lorenzi",35,"1,095",34,"25-35","0","84",979470,172572,1152042
"44","USA","Steve Johnson",27,"1,055",26,"30-22","1","164",933228,72212,1005440
"45","RUS","Karen Khachanov",21,"1,030",28,"25-29","0","120",1077784,100835,1178619
"46","FRA","Gael Monfils",31,"1,015",17,"20-14","0","318",1021555,21803,1043358
"47","USA","Ryan Harrison",25,"1,010",26,"19-23","1","21",780131,455653,1235784
"48","CRO","Borna Coric",20,"1,001",28,"21-25","1","0",854482,5337,859819
"49","GBR","Aljaz Bedene",28,"993",21,"19-18","0","558",640720,15601,656321
"50","GBR","Kyle Edmund",22,"992",27,"30-30","0","0",952699,12696,965395
"51","CAN","Denis Shapovalov",18,"981",23,"11-11","0","773",682664,1830,684494
"52","FRA","Julien Benneteau",35,"959",20,"13-14","0","47",570506,161428,731934
"53","ARG","Leonardo Mayer",30,"917",19,"11-8","1","153",655888,47258,703146
"54","KOR","Hyeon Chung",21,"914",23,"24-18","0","395",650510,21952,672462
"55","USA","Jared Donaldson",21,"908",29,"21-22","0","0",790088,14847,804935
"56","GER","Jan-Lennard Struff",27,"898",33,"28-29","0","190",781676,63166,844842
"57","SRB","Viktor Troicki",31,"880",28,"24-28","0","107",886201,102983,989184
"58","UZB","Denis Istomin",31,"873",25,"17-18","1","263",699225,19010,718235
"59","POR","Joao Sousa",28,"850",30,"25-32","0","235",704606,72036,776642
"60","GER","Peter Gojowczyk",28,"839",21,"14-9","1","0",407519,270,407789
"61","GEO","Nikoloz Basilashvili",25,"826",31,"25-27","0","0",732876,26473,759349
"62","USA","Donald Young",28,"816",24,"24-22","0","48",713155,213517,926672
"63","CZE","Jiri Vesely",24,"815",26,"24-26","0","135",705189,77169,782358
"64","ARG","Horacio Zeballos",32,"808",32,"20-22","0","38",707541,165725,873266
"65","RUS","Daniil Medvedev",21,"772",26,"22-24","0","351",617579,22407,639986
"66","ARG","Guido Pella",27,"757",22,"16-18","0","829",457931,19792,477723
"67","ISR","Dudi Sela",32,"755",23,"13-17","0","176",474394,43894,518288
"68","ARG","Federico Delbonis",27,"755",19,"11-10","0","396",378265,16717,394982
"69","GER","Florian Mayer",34,"718",22,"10-17","0","202",673616,54486,728102
"70","ESP","Guillermo Garcia-Lopez",34,"714",29,"5-15","0","83",403631,93370,497001
"71","RUS","Evgeny Donskoy",27,"706",30,"5-14","0","259",435654,13396,449050
"72","TPE","Yen-Hsun Lu",34,"704",24,"9-14","0","234",442787,41009,483796
"73","ITA","Thomas Fabbiano",28,"701",27,"4-12","0","502",381464,20305,401769
"74","SRB","Dusan Lajovic",27,"687",27,"18-22","0","322",548667,27642,576309
"75","BEL","Steve Darcis",33,"667",22,"20-18","0","323",531591,35672,567263
"76","FRA","Jeremy Chardy",30,"665",27,"18-21","0","92",558812,95405,654217
"77","USA","Frances Tiafoe",19,"663",26,"7-17","0","366",499300,20939,520239
"78","CRO","Ivo Karlovic",38,"660",23,"15-20","0","0",670230,0,670230
"79","KAZ","Mikhail Kukushkin",29,"659",23,"13-14","0","830",518755,6892,525647
"80","DOM","Victor Estrella Burgos",37,"656",25,"9-10","1","344",354188,15427,369615
"81","GER","Cedrik-Marcel Stebe",27,"655",22,"6-6","0","0",201758,1802,203560
"82","FRA","Pierre-Hugues Herbert",26,"652",23,"10-20","0","13",548422,588861,1137283
"83","RUS","Mikhail Youzhny",35,"633",27,"10-20","0","833",461710,27554,489264
"84","HUN","Marton Fucsovics",25,"629",23,"9-8","0","465",281380,6085,287465
"85","USA","Tennys Sandgren",26,"623",32,"2-6","0","275",224380,7018,231398
"86","MDA","Radu Albot",27,"616",30,"9-17","0","208",466537,20962,487499
"87","GRE","Stefanos Tsitsipas",19,"615",32,"4-10","0","501",302949,3703,306652
"88","SRB","Laslo Djere",22,"612",29,"7-5","0","0",139601,1847,141448
"89","FRA","Gilles Simon",32,"610",26,"16-25","0","837",666044,40294,706338
"90","GER","Maximilian Marterer",22,"608",27,"0-10","0","617",206462,3509,209971
"91","ROU","Marius Copil",27,"601",25,"8-15","0","738",354593,12935,367528
"92","AUS","Jordan Thompson",23,"593",26,"13-17","0","87",423584,88877,512461
"93","BRA","Rogerio Dutra Silva",33,"592",30,"10-21","0","90",445345,100164,545509
"94","ITA","Andreas Seppi",33,"591",22,"18-18","0","215",557502,46144,603646
"95","TUN","Malek Jaziri",33,"580",31,"16-22","0","203",581940,54532,636472
"96","JPN","Taro Daniel",24,"579",25,"4-10","0","931",335884,6116,342000
"97","ARG","Nicolas Kicker",25,"574",26,"10-13","0","678",358975,10193,369168
"98","SLO","Blaz Kavcic",30,"573",26,"1-2","0","313",162372,8271,170643
"99","AUT","Gerald Melzer",27,"572",24,"9-9","0","464",213047,12389,225436
"100","AUS","Matthew Ebden",29,"569",18,"9-7","0","231",180968,21641,202609
"101","BEL","Ruben Bemelmans",29,"566",25,"6-5","0","241",288038,5901,293939
"102","FRA","Nicolas Mahut",35,"561",22,"15-19","0","6",608164,694050,1302214
"103","SUI","Henri Laaksonen",25,"557",31,"11-12","0","0",275131,0,275131
"104","SRB","Janko Tipsarevic",33,"556",16,"5-12","0","0",301145,16757,317902
"105","CYP","Marcos Baghdatis",32,"555",20,"18-17","0","397",484451,26923,511374
"106","CAN","Vasek Pospisil",27,"555",26,"8-13","0","178",324685,54641,379326
"107","RUS","Andrey Kuznetsov",26,"546",26,"14-22","0","154",449285,42829,492114
"108","ESP","Roberto Carballes Baena",24,"544",27,"3-2","0","535",120823,4325,125148
"109","ITA","Marco Cecchinato",25,"543",28,"1-5","0","212",179312,9741,189053
"110","UKR","Sergiy Stakhovsky",31,"537",29,"6-8","0","167",287320,12381,299701
"111","USA","Taylor Fritz",20,"536",23,"13-13","0","561",374256,17100,391356
"112","BRA","Thomaz Bellucci",29,"531",22,"14-20","0","398",439419,31881,471300
"113","SVK","Norbert Gombos",27,"526",31,"5-10","0","594",253462,4796,258258
"114","KAZ","Alexander Bublik",20,"514",25,"3-3","0","0",216063,3712,219775
"115","GBR","Cameron Norrie",22,"512",20,"2-4","0","470",221805,3403,225208
"116","GER","Yannick Hanfmann",25,"499",22,"7-5","0","545",144674,2755,147429
"117","USA","Ernesto Escobedo",21,"498",24,"9-15","0","490",369659,13570,383229
"118","CHI","Nicolas Jarry",22,"496",24,"2-3","0","188",150224,7080,157304
"119","USA","Bjorn Fratangelo",24,"494",25,"8-11","0","702",303680,4022,307702
"120","ARG","Carlos Berlocq",34,"484",28,"13-20","0","314",402242,36002,438244
"121","POR","Gastao Elias",26,"474",30,"7-11","0","277",220904,12720,233624
"122","ITA","Matteo Berrettini",21,"470",22,"0-1","0","497",84668,3357,88025
"123","GER","Dustin Brown",32,"469",30,"10-20","0","182",455855,43019,498874
"124","POR","Pedro Sousa",29,"469",21,"4-1","0","0",109828,720,110548
"125","POL","Jerzy Janowicz",26,"464",20,"6-6","0","438",280333,10677,291010
"126","SVK","Lukas Lacko",30,"457",24,"7-10","0","1234",297254,926,298180
"127","JPN","Yoshihito Nishioka",22,"454",13,"9-9","0","0",214339,0,214339
"128","BLR","Egor Gerasimov",24,"454",16,"3-0","0","946",71296,960,72256
"129","CAN","Peter Polansky",29,"445",28,"2-4","0","187",206757,11130,217887
"130","ESP","Adrian Menendez-Maceiras",32,"444",23,"2-4","0","165",181407,12372,193779
"131","USA","Stefan Kozlov",19,"439",28,"2-9","0","362",172801,9375,182176
"132","FRA","Quentin Halys",21,"436",27,"2-6","0","221",196467,19693,216160
"133","BRA","Thiago Monteiro",23,"435",28,"13-24","0","630",447612,8306,455918
"134","GER","Oscar Otte",24,"435",24,"0-0","0","227",86389,7644,94033
"135","AUT","Sebastian Ofner",21,"433",31,"5-3","0","733",200267,2966,203233
"136","GBR","Daniel Evans",27,"427",14,"13-12","0","303",405918,23108,429026
"137","ITA","Stefano Travaglia",25,"426",24,"1-3","0","611",180893,4016,184909
"138","NOR","Casper Ruud",18,"409",28,"7-9","0","1186",221336,1546,222882
"139","ITA","Alessandro Giannessi",27,"408",23,"6-9","0","254",188751,20943,209694
"140","IND","Yuki Bhambri",25,"408",22,"8-4","0","377",128693,5352,134045
"141","LTU","Ricardas Berankis",27,"395",17,"5-7","0","830",284309,4549,288858
"142","SVK","Martin Klizan",28,"393",21,"11-16","0","334",360936,20335,381271
"143","ARG","Renzo Olivo",25,"387",30,"8-16","0","245",327412,18988,346400
"144","AUS","Bernard Tomic",25,"386",22,"10-19","0","290",486450,28461,514911
"145","USA","Michael Mmoh",19,"381",25,"0-4","0","1184",145770,1270,147040
"146","ESP","Nicolas Almagro",32,"380",19,"10-12","0","309",362841,18514,381355
"147","AUS","Akira Santillan",20,"369",29,"2-5","0","373",128408,5140,133548
"148","IND","Ramkumar Ramanathan",22,"365",33,"8-5","0","392",105088,6536,111624
"149","ITA","Luca Vanni",32,"363",23,"0-2","0","818",95575,3198,98773
"150","ARG","Facundo Bagnis",27,"362",25,"3-12","0","169",221696,35597,257293
"151","JPN","Tatsuma Ito",29,"361",27,"0-2","0","797",114573,2010,116583
"152","ESP","Tommy Robredo",35,"358",26,"6-11","0","195",231280,42594,273874
"153","BIH","Mirza Basic",26,"358",21,"4-2","0","576",116603,2958,119561
"154","CAN","Felix Auger-Aliassime",17,"353",22,"0-0","0","813",62263,1731,63994
"155","FRA","Corentin Moutet",18,"352",23,"0-0","0","491",57242,12538,69780
"156","SRB","Nikola Milojevic",22,"350",25,"0-0","0","363",75293,7010,82303
"157","FRA","Kenny De Schepper",30,"349",27,"5-4","0","730",115275,10027,125302
"158","USA","Tim Smyczek",29,"347",21,"1-7","0","1244",188319,1740,190059
"159","USA","Tommy Paul",20,"346",19,"6-4","0","1078",171623,9940,181563
"160","JPN","Go Soeda",33,"345",23,"1-3","0","430",140542,4754,145296
"161","FRA","Mathias Bourgue",23,"344",27,"0-2","0","0",115137,7371,122508
"162","SVK","Jozef Kovalik",25,"335",25,"3-6","0","284",131001,5830,136831
"163","SVK","Andrej Martin",28,"335",21,"2-2","0","713",69580,3983,73563
"164","ITA","Stefano Napolitano",22,"333",26,"1-2","0","278",152888,10501,163389
"165","FRA","Gleb Sakharov",29,"324",30,"1-1","0","788",85203,1939,87142
"166","HUN","Attila Balazs",28,"322",31,"1-3","0","201",55780,10373,66153
"167","GER","Yannick Maden",28,"321",22,"1-1","0","1234",67392,661,68053
"168","GBR","Liam Broady",23,"313",21,"2-2","0","606",77678,1816,79494
"169","BEL","Arthur De Greef",25,"310",24,"2-5","0","949",121330,2726,124056
"170","ITA","Salvatore Caruso",24,"309",34,"0-1","0","260",74765,7280,82045
"171","ITA","Simone Bolelli",32,"305",16,"2-4","0","171",214496,48016,262512
"172","POR","Joao Domingues",24,"304",23,"2-1","0","739",52023,2309,54332
"173","BIH","Aldin Setkic",29,"304",28,"0-1","0","472",78813,5759,84572
"174","BLR","Uladzimir Ignatik",27,"302",31,"0-0","0","400",86097,5114,91211
"175","USA","Mackenzie McDonald",22,"299",28,"0-0","0","308",89736,8385,98121
"176","ESP","Marcel Granollers",31,"298",24,"4-17","0","14",339238,509694,848932
"177","BAR","Darian King",25,"294",19,"9-4","0","370",171107,5504,176611
"178","EST","Jurgen Zopp",29,"292",17,"1-2","0","1230",40268,410,40678
"179","ESP","Carlos Taberner",20,"291",26,"0-0","0","368",36784,4793,41577
"180","ESP","Ricardo Ojeda Lara",24,"291",27,"0-0","0","954",47369,1697,49066
"181","GER","Matthias Bachinger",30,"287",18,"0-0","0","1234",44428,2015,46443
"182","FRA","Benjamin Bonzi",21,"286",28,"1-1","0","253",122529,8333,130862
"183","SWE","Elias Ymer",21,"284",22,"4-5","0","493",107215,7089,114304
"184","KAZ","Dmitry Popko",21,"283",33,"2-1","0","412",58513,5227,63740
"185","AUS","John Millman",28,"282",15,"3-6","0","256",272032,21105,293137
"186","RUS","Alexey Vatutin",25,"282",26,"0-0","0","714",55931,1391,57322
"187","USA","Mitchell Krueger",23,"281",29,"1-3","0","276",129258,7795,137053
"188","CZE","Adam Pavlasek",23,"276",22,"1-5","0","0",182240,0,182240
"189","KOR","Soon Woo Kwon",19,"276",19,"3-1","0","356",54160,5220,59380
"190","FRA","Calvin Hemery",22,"275",23,"0-1","0","618",63401,4338,67739
"191","CZE","Vaclav Safranek",23,"273",30,"0-1","0","296",94374,5070,99444
"192","ARG","Guido Andreozzi",26,"273",24,"1-2","0","168",99762,15130,114892
"193","AUT","Jurgen Melzer",36,"271",9,"0-2","0","200",80169,19284,99453
"194","FRA","Vincent Millot",31,"269",22,"2-5","0","804",175850,7487,183337
"195","UKR","Illya Marchenko",30,"269",21,"4-6","0","828",171387,3433,174820
"196","COL","Santiago Giraldo",29,"265",18,"6-11","0","711",242497,2250,244747
"197","USA","Evan King",25,"261",35,"1-2","0","156",95025,14329,109354
"198","CHN","Ze Zhang",27,"260",18,"1-4","0","204",90345,24595,114940
"199","LAT","Ernests Gulbis",29,"258",12,"6-8","0","0",317146,0,317146
"200","CAN","Brayden Schnur",22,"258",24,"0-3","0","734",61054,4268,65322
"201","KOR","Duckhee Lee",19,"258",32,"0-1","0","925",90129,3010,93139
"202","USA","Kevin King",26,"257",20,"0-0","0","287",34161,5752,39913
"203","USA","Noah Rubin",21,"256",18,"1-2","0","1181",103409,1020,104429
"204","ITA","Lorenzo Sonego",22,"255",19,"0-0","0","588",31426,2192,33618
"205","CZE","Lukas Rosol",32,"254",18,"3-4","0","336",150488,4639,155127
"206","AUS","Alex Bolt",24,"254",18,"0-2","0","95",77490,50437,127927
"207","USA","Denis Kudla",25,"253",23,"1-1","0","175",124261,13602,137863
"208","AUS","Alex de Minaur",18,"250",20,"2-5","0","1139",202176,7445,209621
"209","ESA","Marcelo Arevalo",27,"250",22,"4-1","0","103",59960,21376,81336
"210","SRB","Miomir Kecmanovic",18,"246",25,"0-0","0","753",44481,2380,46861
"211","AUS","Thanasi Kokkinakis",21,"245",8,"6-7","0","177",244533,29858,274391
"212","JPN","Yasutaka Uchiyama",25,"245",19,"2-2","0","141",89096,52320,141416
"213","EGY","Mohamed Safwat",27,"245",25,"1-4","0","770",92719,2650,95369
"214","POR","Goncalo Oliveira",22,"245",45,"0-0","0","163",49846,11871,61717
"215","SLO","Blaz Rola",27,"243",23,"0-0","0","299",56075,6122,62197
"216","SRB","Pedja Krstin",23,"242",23,"0-0","0","1173",41404,2455,43859
"217","AUS","John-Patrick Smith",28,"237",18,"0-3","0","66",144950,94444,239394
"218","AUT","Dennis Novak",24,"237",20,"1-1","0","789",54815,1911,56726
"219","ESP","Jaume Munar",20,"237",23,"0-1","0","330",38964,10208,49172
"220","CZE","Zdenek Kolar",21,"236",36,"0-0","0","145",41755,12266,54021
"221","ARG","Marco Trungelliti",27,"235",21,"1-2","0","469",153809,4081,157890
"222","USA","Reilly Opelka",20,"235",21,"1-8","0","450",176799,14162,190961
"223","POL","Kamil Majchrzak",21,"235",23,"0-4","0","389",40380,3734,44114
"224","CRO","Viktor Galovic",27,"232",16,"1-0","0","532",42012,3541,45553
"225","USA","Dennis Novikov",24,"231",30,"2-3","0","196",120783,9320,130103
"226","ITA","Andrea Arnaboldi",29,"230",31,"0-0","0","953",50371,2391,52762
"227","KAZ","Aleksandr Nedovyesov",30,"227",21,"0-1","0","251",46410,6499,52909
"228","BRA","Guilherme Clezar",24,"226",24,"0-2","0","568",43464,4148,47612
"229","USA","Bradley Klahn",27,"224",19,"0-0","0","222",74192,17690,91882
"230","RSA","Lloyd Harris",20,"224",26,"6-2","0","1079",38375,1756,40131
"231","ESP","Nicola Kuhn",17,"221",17,"0-1","0","0",45447,431,45878
"232","BOL","Hugo Dellien",24,"221",21,"1-1","0","270",28690,5394,34084
"233","GER","Daniel Altmaier",19,"221",22,"2-3","0","484",52680,5662,58342
"234","EGY","Karim-Mohamed Maamoun",26,"221",27,"0-0","0","514",32424,3010,35434
"235","RUS","Teymuraz Gabashvili",32,"220",24,"0-3","0","285",126065,6329,132394
"236","AUS","Sam Groth",30,"216",17,"2-5","0","76",108347,94337,202684
"237","CHN","Di Wu",26,"214",25,"1-5","0","193",141015,23040,164055
